,Unnamed: 0,Common name,Scientific name,Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,Catalogue number,License,month,breeding stage,sex,life_stage
0,0,Northern Goshawk,Accipiter gentilis,,Jack Berteau,2007-07-08,14:30,"Arrondissement de Poitiers (near  Chauvigny), Vienne, Nouvelle-Aquitaine",France,46.5832,0.7056,140,"adult, call, sex uncertain","Mixed forest.

bird-seen:no

playback-used:no",,742843,//creativecommons.org/licenses/by-nc-sa/4.0/,7.0,Fledging,,adult
1,1,Northern Goshawk,Accipiter gentilis,,Beatrix Saadi-Varchmin,2010-06-10,08:27,"forest S, Hagenheim (near  Hofstetten), Landsberg/Lech, Oberbayern, Bayern",Germany,47.993,10.9495,700,"begging call, juvenile, sex uncertain","at least three young Accipiter gentilis, ""Ästlinge"", call from different directions in that forest aerea, where they were grown up.
Now, in 2022, this breeding place doesn't exist since years

bird-seen:no

playback-used:no","Phylloscopus collybita,Fringilla coelebs,Turdus philomelos",738553,//creativecommons.org/licenses/by-nc-sa/4.0/,6.0,Incubation and nesting,,juvenile
2,2,Northern Goshawk,Accipiter gentilis,,Sławomir Karpicki-Ignatowski,2022-07-20,19:00,"Poznań, Poznań County, Greater Poland Voivodeship",Poland,52.3848,17.0485,80,"call, life stage uncertain","

bird-seen:yes

playback-used:no",,738380,//creativecommons.org/licenses/by-nc-sa/4.0/,7.0,Fledging,,
3,3,Northern Goshawk,Accipiter gentilis,,B Whyte,2022-06-02,19:30,"Clunas, Highland Council, Scotland",United Kingdom,57.4782,-3.876,260,"adult, alarm call, begging call, sex uncertain","

bird-seen:yes

playback-used:no",,728885,//creativecommons.org/licenses/by-nc-sa/4.0/,6.0,Incubation and nesting,,adult
4,4,Northern Goshawk,Accipiter gentilis,,Antonio Xeira,2018-05-14,08:00,"Cockley Cley Woods, Norfolk, England",United Kingdom,52.6205,0.6458,50,"adult, call, sex uncertain","Editing: High-pass filter, some amplification.

Recorder: Olympus WS-822

Microphone: Audio-Technica ATR 6550 shotgun

bird-seen:yes

playback-used:no",,715009,//creativecommons.org/licenses/by-nc-nd/4.0/,5.0,Incubation and nesting,,adult
5,5,Northern Goshawk,Accipiter gentilis,,Jordi Solà,2022-03-23,06:43,"Bixessarri, Sant Julià de Lòria",Andorra,42.4675,1.4576,1700,uncertain,"Sound recorded at 1700 m altitude at 06h45 AM
Habitat of pinus uncinata

bird-seen:no

playback-used:no",,713983,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",,
6,6,Northern Goshawk,Accipiter gentilis,,Diego Fernandez Martinez,2022-04-03,10:00,"Arrondissement Halle-Vilvoorde (near  Beersel), Flemish Brabant, Flanders",Belgium,50.7663,4.3231,90,"adult, call","

bird-seen:yes

playback-used:no",,713496,//creativecommons.org/licenses/by-nc-sa/4.0/,4.0,Incubation and nesting,,adult
7,7,Northern Goshawk,Accipiter gentilis,,Mark Newsome,2022-03-28,18:03,"Wauchope Forest, Scottish Borders",United Kingdom,55.3297,-2.6281,300,call,"

bird-seen:no

playback-used:no",,712296,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",,
8,8,Northern Goshawk,Accipiter gentilis,,Bastian Forkel,2022-03-27,10:00,"Neustadt bei Coburg, Oberfranken, Bayern",Germany,50.3265,11.1184,340,"adult, call, sex uncertain","

bird-seen:yes

playback-used:no",,711344,//creativecommons.org/licenses/by-nc-sa/4.0/,3.0,"Territory-building, courtship",,adult
9,9,Northern Goshawk,Accipiter gentilis,,Naomi,2021-06-21,08:00,"McCall, Valley County, Idaho",United States,44.7108,-115.8748,1800,"adult, alarm call, sex uncertain","Adult very agitated Northern Goshawk. Certainly nesting in the area, came closer and closer to me as I considered how I wish I had a hardhat. 

bird-seen:yes

playback-used:no",,711109,//creativecommons.org/licenses/by-nc-sa/4.0/,6.0,Incubation and nesting,,adult
